UF,Data Vacinação,quantidade
SP,17/01/2021,170
SP,18/01/2021,940
SP,19/01/2021,7.425
SP,20/01/2021,12.205
SP,21/01/2021,24.602
SP,22/01/2021,42.255
SP,23/01/2021,8.620
SP,24/01/2021,2.533
SP,25/01/2021,2.426
SP,26/01/2021,12.467
SP,27/01/2021,14.656
SP,28/01/2021,24.547
SP,29/01/2021,21.495
SP,30/01/2021,1.881
SP,31/01/2021,413
SP,01/02/2021,11.846
SP,02/02/2021,13.314
SP,03/02/2021,20.778
SP,04/02/2021,26.126
SP,05/02/2021,39.599
SP,06/02/2021,7.440
SP,07/02/2021,2.185
SP,08/02/2021,21.846
SP,09/02/2021,25.604
SP,10/02/2021,16.993
SP,11/02/2021,21.329
SP,12/02/2021,65.845
SP,13/02/2021,7.096
SP,14/02/2021,7.700
SP,15/02/2021,46.068
SP,16/02/2021,38.786
SP,17/02/2021,33.265
SP,18/02/2021,33.661
SP,19/02/2021,25.943
SP,20/02/2021,2.635
SP,21/02/2021,651
SP,22/02/2021,17.359
SP,23/02/2021,15.927
SP,24/02/2021,13.056
SP,25/02/2021,11.246
SP,26/02/2021,19.454
SP,27/02/2021,39.585
SP,28/02/2021,7.925
SP,01/03/2021,73.407
SP,02/03/2021,43.625
SP,03/03/2021,96.763
SP,04/03/2021,47.376
SP,05/03/2021,49.543
SP,06/03/2021,6.724
SP,07/03/2021,37
SP,08/03/2021,27.454
SP,09/03/2021,17.150
SP,10/03/2021,19.840
SP,11/03/2021,19.927
SP,12/03/2021,24.281
SP,13/03/2021,2.461
SP,14/03/2021,88
SP,15/03/2021,80.896
SP,16/03/2021,29.299
SP,17/03/2021,18.892
SP,18/03/2021,15.212
SP,19/03/2021,138.503
SP,20/03/2021,12.382
SP,21/03/2021,282
SP,22/03/2021,37.707
SP,23/03/2021,24.092
SP,24/03/2021,52.458
SP,25/03/2021,31.115
SP,26/03/2021,168.138
SP,27/03/2021,21.460
SP,28/03/2021,82
SP,29/03/2021,42.437
SP,30/03/2021,22.632
SP,31/03/2021,21.723
SP,01/04/2021,18.421
SP,02/04/2021,36.772
SP,03/04/2021,12.758
SP,04/04/2021,307
SP,05/04/2021,111.598
SP,06/04/2021,60.333
SP,07/04/2021,45.440
SP,08/04/2021,36.792
SP,09/04/2021,125.004
SP,10/04/2021,50.657
SP,11/04/2021,1.040
SP,12/04/2021,106.166
SP,13/04/2021,43.107
SP,14/04/2021,29.177
SP,15/04/2021,24.731
SP,16/04/2021,143.097
SP,17/04/2021,16.150
SP,18/04/2021,188
SP,19/04/2021,47.834
SP,20/04/2021,27.572
SP,21/04/2021,132.504
SP,22/04/2021,51.344
SP,23/04/2021,120.582
SP,24/04/2021,19.009
SP,25/04/2021,140
SP,26/04/2021,58.456
SP,27/04/2021,34.823
SP,28/04/2021,33.903
SP,29/04/2021,89.405
SP,30/04/2021,39.672
SP,01/05/2021,21.233
SP,02/05/2021,119
SP,03/05/2021,53.692
SP,04/05/2021,45.006
SP,05/05/2021,33.492
SP,06/05/2021,203.215
SP,07/05/2021,82.118
SP,08/05/2021,27.356
SP,09/05/2021,130
SP,10/05/2021,39.716
SP,11/05/2021,30.593
SP,12/05/2021,95.696
SP,13/05/2021,45.419
SP,14/05/2021,120.761
SP,15/05/2021,60.464
SP,16/05/2021,148
SP,17/05/2021,67.181
SP,18/05/2021,91.599
SP,19/05/2021,79.914
SP,20/05/2021,87.178
SP,21/05/2021,86.457
SP,22/05/2021,22.938
SP,23/05/2021,134
SP,24/05/2021,71.665
SP,25/05/2021,59.707
SP,26/05/2021,54.064
SP,27/05/2021,55.397
SP,28/05/2021,110.808
SP,29/05/2021,44.056
SP,30/05/2021,116
SP,31/05/2021,52.914
SP,01/06/2021,56.996
SP,02/06/2021,93.569
SP,03/06/2021,62.320
SP,04/06/2021,45.976
SP,05/06/2021,26.507
SP,06/06/2021,147
SP,07/06/2021,56.881
SP,08/06/2021,44.655
SP,09/06/2021,43.848
SP,10/06/2021,44.475
SP,11/06/2021,89.908
SP,12/06/2021,17.425
SP,13/06/2021,85
SP,14/06/2021,80.441
SP,15/06/2021,54.149
SP,16/06/2021,141.983
SP,17/06/2021,131.555
SP,18/06/2021,133.899
SP,19/06/2021,136.762
SP,20/06/2021,109
SP,21/06/2021,57.860
SP,22/06/2021,3.421
SP,23/06/2021,110.497
SP,24/06/2021,99.912
SP,25/06/2021,113.562
SP,26/06/2021,47.594
SP,27/06/2021,244
SP,28/06/2021,136.371
SP,29/06/2021,185.113
SP,30/06/2021,194.990
SP,01/07/2021,95.877
SP,02/07/2021,70.681
SP,03/07/2021,7.873
SP,04/07/2021,411
SP,05/07/2021,131.598
SP,06/07/2021,74.848
SP,07/07/2021,127.043
SP,08/07/2021,136.694
SP,09/07/2021,129.331
SP,10/07/2021,25.514
SP,11/07/2021,80
SP,12/07/2021,148.438
SP,13/07/2021,72.446
SP,14/07/2021,112.327
SP,15/07/2021,142.788
SP,16/07/2021,220.768
SP,17/07/2021,55.598
SP,18/07/2021,111
SP,19/07/2021,176.572
SP,20/07/2021,158.206
SP,21/07/2021,224.573
SP,22/07/2021,219.529
SP,23/07/2021,182.671
SP,24/07/2021,49.552
SP,25/07/2021,607
SP,26/07/2021,94.454
SP,27/07/2021,144.062
SP,28/07/2021,58.310
SP,29/07/2021,175.577
SP,30/07/2021,141.533
SP,31/07/2021,60.443
SP,01/08/2021,200
SP,02/08/2021,86.790
SP,03/08/2021,60.761
SP,04/08/2021,170.024
SP,05/08/2021,156.615
SP,06/08/2021,217.948
SP,07/08/2021,84.854
SP,08/08/2021,157
SP,09/08/2021,129.650
SP,10/08/2021,189.556
SP,11/08/2021,127.563
SP,12/08/2021,178.715
SP,13/08/2021,213.587
SP,14/08/2021,273.210
SP,15/08/2021,206.517
SP,16/08/2021,229.560
SP,17/08/2021,199.925
SP,18/08/2021,195.496
SP,19/08/2021,143.662
SP,20/08/2021,93.105
SP,21/08/2021,34.847
SP,22/08/2021,790
SP,23/08/2021,108.135
SP,24/08/2021,81.150
SP,25/08/2021,117.819
SP,26/08/2021,84.287
SP,27/08/2021,108.401
SP,28/08/2021,58.486
SP,29/08/2021,3.742
SP,30/08/2021,216.110
SP,31/08/2021,166.570